,tweetcreatedts,username,description,location,following,followers,totaltweets,retweetcount,text,hashtags,userID
10,2021-04-28 21:00:53,MBTA_Parking,"Tweeting weekday morning updates about @MBTA parking garages: Alewife, Beverly, Braintree, Route 128, Salem, Quincy Adams, Wonderland, and Woodland.","Boston, MA",2,2205,22137,0,"#Parking Availability @ 5:00 PM

Alewife: 2107 free spaces (10% full)
Beverly: 358 (11%)
Quincy Adams: 775 (1%)
Route 128: 2045 (6%)
Wonderland: 1293 (9%)
Woodland: 455 (14%)",['Parking'],999342579790557194
11,2021-04-28 20:44:37,SPPlusCareers,"SP+ (SP Plus) is a diverse provider of professional parking, ground transportation, facility maintenance, security, & event logistics services.  #Hiring #jobs",,126,809,1743,0,"Find your spot in #parking! We currently have Parking Operations openings in Portland, OR. #CareerGrowth https://t.co/Kk6qrnya42","['parking', 'CareerGrowth']",928378622121070593
12,2021-04-28 20:41:25,SPPlusCareers,"SP+ (SP Plus) is a diverse provider of professional parking, ground transportation, facility maintenance, security, & event logistics services.  #Hiring #jobs",,126,809,1743,0,"Ever thought about a job in #parking? With over 4,000 locations across the US and Canada, SP + is looking for new team members in NY. Check out our Valet Attendant opportunity. https://t.co/T5rEs8bCTl #valet","['parking', 'valet']",928378622121070593
13,2021-04-28 20:31:29,mycowork_space,"Discover #Workspaces & Book #Coworking Spaces, Hubs, Hives, Hot Desks, Shared Desks, Private Offices, Meeting Rooms, Maker Spaces and more around you.",Online Directory,488,1544,47240,2,"Amenities includes:
Premium Wifi
Unlimited Coffee and tea
Comfortable air conditioned rooms
Secured parking
Personal storage lockers

#coffee #parking #coworking #coffeelovers #remoteoffice #meetingrooms #portmore #coworkingspace #coworkingcommunity https://t.co/e5hi8MQoM3",[],1087975080729165824
14,2021-04-28 20:30:56,MBTA_Parking,"Tweeting weekday morning updates about @MBTA parking garages: Alewife, Beverly, Braintree, Route 128, Salem, Quincy Adams, Wonderland, and Woodland.","Boston, MA",2,2205,22137,0,"#Parking Availability @ 4:30 PM

Alewife: 2082 free spaces (11% full)
Beverly: 352 (12%)
Quincy Adams: 775 (1%)
Route 128: 2045 (6%)
Wonderland: 1279 (10%)
Woodland: 416 (22%)",['Parking'],999342579790557194
15,2021-04-28 20:20:06,ParqEx_MKE,The SMART Parking Platform - Milwaukee,"Milwaukee, WI",97,66,2318,0,"Download our #app and let us be part of your everyday life!

https://t.co/XGtPN35LcV 

#ParqEx #Tech #Technology #Parking #ParkingSolutions #mke #wisconsin https://t.co/pvFQasWJZQ","['app', 'ParqEx', 'Tech', 'Technology', 'Parking', 'ParkingSolutions', 'mke', 'wisconsin']",780842436515856384
16,2021-04-28 20:12:04,CoworkPortmore,"Corporate Services Associates is a customer-centric organization & Coworking host in Portmore, St. Catherine. It's OUR business to help your business.","Portmore, Jamaica ",221,312,1686,2,"Amenities includes:
Premium Wifi
Unlimited Coffee and tea
Comfortable air conditioned rooms
Secured parking
Personal storage lockers

#coffee #parking #coworking #coffeelovers #remoteoffice #meetingrooms #portmore #coworkingspace #coworkingcommunity https://t.co/e5hi8MQoM3","['coffee', 'parking', 'coworking', 'coffeelovers', 'remoteoffice', 'meetingrooms', 'portmore', 'coworkingspace', 'coworkingcommunity']",24558224
17,2021-04-28 20:10:07,ParqEx_Madison,The Private Parking Marketplace - Madison,"Madison, WI",60,28,2310,0,"Download our #app and let us be part of your everyday life!

https://t.co/QNxLeDL8Ws 

#ParqEx #Tech #Technology #Parking #ParkingSolutions #madison #wisconsin https://t.co/TrPyzSgNwH","['app', 'ParqEx', 'Tech', 'Technology', 'Parking', 'ParkingSolutions', 'madison', 'wisconsin']",788053357319561216
18,2021-04-28 20:06:19,bmurphypointman,#affiliate #affiliatemarketing #bitcoin #business  #cryptocurrency #doge #deals #discount #gifts #marketing #shopping #socialmedia #travel #twitter #webtalk,"Bay Area, CA",4823,69595,1047327,0,#linkedin #twitter #facebook #instagram #bitcoin #socialmedia #pinterest #dogecoin #deal #gift #gifts #giftideas #shoppingaddict #shop #shopping #shoppingonline #parking #airport Save Up To 70% For A Limited Time Only On #airportparking https://t.co/UsGkiUEntP,"['linkedin', 'twitter', 'facebook', 'instagram', 'bitcoin', 'socialmedia', 'pinterest', 'dogecoin', 'deal', 'gift', 'gifts', 'giftideas', 'shoppingaddict', 'shop', 'shopping', 'shoppingonline', 'parking', 'airport', 'airportparking']",617853906
19,2021-04-28 20:01:00,MBTA_Parking,"Tweeting weekday morning updates about @MBTA parking garages: Alewife, Beverly, Braintree, Route 128, Salem, Quincy Adams, Wonderland, and Woodland.","Boston, MA",2,2205,22137,0,"#Parking Availability @ 4:01 PM

Alewife: 2072 free spaces (11% full)
Beverly: 349 (13%)
Quincy Adams: 775 (1%)
Route 128: 2045 (6%)
Wonderland: 1258 (12%)
Woodland: 386 (27%)",['Parking'],999342579790557194
20,2021-04-28 20:01:00,ParqEx,ParqEx is The Smart Parking Platform that is transforming parking real-estate (855)727-7391.,United States,12024,30481,9393,0,"Download our #app and let us be part of your everyday life!

https://t.co/JeZxtClN30 

#ParqEx #Tech #Technology #Parking #ParkingSolutions https://t.co/IZFO3VXAWs","['app', 'ParqEx', 'Tech', 'Technology', 'Parking', 'ParkingSolutions']",2410066170
21,2021-04-28 19:42:46,tmj_bna_adm,"Follow this account for geo-targeted IT-Support/Administration job tweets in Nashville, TN. Need help? Tweet us at @CareerArc!","Nashville, TN",195,256,659,0,"Ever thought about a job in #parking? With over 4,000 locations across the US and Canada, SP + is looking for new team members in Nashville, TN. Check out our Data Analyst opportunity. https://t.co/widcLm7DQO #IT","['parking', 'IT']",82676628
22,2021-04-28 19:30:03,MBTA_Parking,"Tweeting weekday morning updates about @MBTA parking garages: Alewife, Beverly, Braintree, Route 128, Salem, Quincy Adams, Wonderland, and Woodland.","Boston, MA",2,2205,22137,0,"#Parking Availability @ 3:30 PM

Alewife: 2041 free spaces (12% full)
Beverly: 347 (13%)
Quincy Adams: 775 (1%)
Route 128: 2045 (6%)
Wonderland: 1244 (13%)
Woodland: 354 (33%)",['Parking'],999342579790557194
23,2021-04-28 19:20:16,CityTech_,"We reinvent cities.
City Tech is an urban solutions accelerator tackling problems too big for any single sector or organization to solve alone.",Chicago,1235,7859,7616,1,"Congrats to our partner @ParkingChicago for hosting the @LyricOpera's latest production! The future for #parking facilities can go far beyond #mobility use cases, &amp; this incredible #collaboration showcases the industry's potential.

https://t.co/MB8t5S9nJM","['parking', 'mobility', 'collaboration']",339280234
24,2021-04-28 19:06:22,bmurphypointman,#affiliate #affiliatemarketing #bitcoin #business  #cryptocurrency #doge #deals #discount #gifts #marketing #shopping #socialmedia #travel #twitter #webtalk,"Bay Area, CA",4823,69595,1047327,0,#linkedin #twitter #facebook #instagram #bitcoin #socialmedia #pinterest #dogecoin #deal #gift #gifts #shoppingaddict #giftideas #shop #shopping #shoppingonline #parking #airport Save Up To 70% For A Limited Time Only On #airportparking https://t.co/UsGkiUEntP,"['linkedin', 'twitter', 'facebook', 'instagram', 'bitcoin', 'socialmedia', 'pinterest', 'dogecoin', 'deal', 'gift', 'gifts', 'shoppingaddict', 'giftideas', 'shop', 'shopping', 'shoppingonline', 'parking', 'airport', 'airportparking']",617853906
25,2021-04-28 19:05:19,steverennis,"Interested in smart cities, cars that drive themselves, transactions that settle themselves, crowdsourcing, crypto-currencies, and good music.  No Bad Days🌴",Edmonton,244,58,122,3,"ATS Traffic and IntelliTrafik are proud to partner with @DataFromSky – international innovation leaders in traffic monitoring and smart parking detection: https://t.co/MPuqYzBQLV

#DataDriven #Traffic #SmartTraffic #SmartCity #Safety #Parking #TrafficMonitoring",[],366649726
26,2021-04-28 19:01:14,TrustMyGarage,By using a member of TRUST MY GARAGE you can be reassured that you are using a nationally recognised brand - the only scheme backed by @RMI_IGA,United Kingdom,1008,2942,13667,0,"A butcher has won a battle with his local council to overturn parking fines worth £20,000 after proving the road he parks on is private - read more here: https://t.co/b9jsCS210z #parking #driving #law https://t.co/ypmntf24ja","['parking', 'driving', 'law']",281548524
27,2021-04-28 19:00:44,uclaurbnplnning,"50+ years of leading in innovation and action, from Southern California to the world.","Los Angeles, CA",509,5232,1914,1,"@UCLA @uclaurbnplnning Prof. @DonaldShoup &amp; CA Assemblywoman Laura Friedman co-authored a @CityLab article calling for an end to minimum #parking requirements, arguing that the outdated mandates drive up poverty, homelessness and carbon emissions. https://t.co/lXdqmZPeqh",[],249844569
28,2021-04-28 19:00:05,MBTA_Parking,"Tweeting weekday morning updates about @MBTA parking garages: Alewife, Beverly, Braintree, Route 128, Salem, Quincy Adams, Wonderland, and Woodland.","Boston, MA",2,2205,22137,0,"#Parking Availability @ 3:00 PM

Alewife: 2023 free spaces (13% full)
Beverly: 348 (13%)
Quincy Adams: 775 (1%)
Route 128: 2045 (6%)
Wonderland: 1236 (13%)
Woodland: 336 (37%)",['Parking'],999342579790557194
29,2021-04-28 18:45:38,MBTA_Parking,"Tweeting weekday morning updates about @MBTA parking garages: Alewife, Beverly, Braintree, Route 128, Salem, Quincy Adams, Wonderland, and Woodland.","Boston, MA",2,2205,22137,0,"#Parking Availability @ 2:45 PM

Alewife: 2014 free spaces (14% full)
Beverly: 346 (14%)
Quincy Adams: 775 (1%)
Route 128: 2045 (6%)
Wonderland: 1238 (13%)
Woodland: 333 (37%)",['Parking'],999342579790557194
30,2021-04-28 18:26:05,atcoolguydotcom,Not everything is Black & White!,,328,167,19538,0,"@Irek_K @CipkarSarah @ZukJE @FamServWE I would NOT like 2 see this in my neighbours' back yard. The idea of #SmallHouses seems like the ideal solution 2 solve the #AffordableHousingCrisis,but there R so many things that must B adhered 2, 2 make it viable: #SewerCapacity, #Utilities, #EmergencyAccess, #Taxes, #Parking, https://t.co/YTUL57imRN","['SmallHouses', 'AffordableHousingCrisis', 'SewerCapacity', 'Utilities', 'EmergencyAccess', 'Taxes', 'Parking']",40137874
31,2021-04-28 18:11:06,StrongerDenton,"Dreaming and acting to improve our community, one step at a time.","Denton, TX",22,7,115,0,"Next up: general development provisions: land-disturbing activities, ESAs, Landscaping/buffering, and #parking requirements. The first three are minor changes to improve clarity, which staff has done a very good job of in this code which was last updated in 2019.",['parking'],1113068890924441601
32,2021-04-28 18:07:28,Parking_Reform,"An organization with a mission to educate the public about the impact of parking policy on housing, climate, equity, and traffic.",United States,10,773,924,2,"Inspired by @ncoxbarrett live tweeting of Dallas ZOAC meetings on #parking, we will live tweet Denton's Development Code Review Committee today, where they will discuss primarily #ADUs and #ParkingRequirements. Starts in 10 minutes: https://t.co/J0y8bBTth3",['parking'],1131267222922383360
33,2021-04-28 18:06:20,bmurphypointman,#affiliate #affiliatemarketing #bitcoin #business  #cryptocurrency #doge #deals #discount #gifts #marketing #shopping #socialmedia #travel #twitter #webtalk,"Bay Area, CA",4823,69595,1047327,0,#linkedin #twitter #facebook #instagram #bitcoin #socialmedia #pinterest #dogecoin #deal #gift #shoppingaddict #gifts #giftideas #shop #shopping #shoppingonline #parking #airport Save Up To 70% For A Limited Time Only On #airportparking https://t.co/UsGkiUEntP,"['linkedin', 'twitter', 'facebook', 'instagram', 'bitcoin', 'socialmedia', 'pinterest', 'dogecoin', 'deal', 'gift', 'shoppingaddict', 'gifts', 'giftideas', 'shop', 'shopping', 'shoppingonline', 'parking', 'airport', 'airportparking']",617853906
34,2021-04-28 18:05:24,MBTA_Parking,"Tweeting weekday morning updates about @MBTA parking garages: Alewife, Beverly, Braintree, Route 128, Salem, Quincy Adams, Wonderland, and Woodland.","Boston, MA",2,2205,22137,0,"#Parking Availability @ 2:05 PM

Alewife: 2006 free spaces (14% full)
Beverly: 346 (14%)
Quincy Adams: 775 (1%)
Route 128: 2045 (6%)
Wonderland: 1240 (13%)
Woodland: 328 (38%)",['Parking'],999342579790557194
35,2021-04-28 18:03:35,Blatant01,I am RIGHT 90% of the time and the other 10% CLOSE to being right YOU do the math.,WHERE EVER YOU ARE! ,292,197,6039,1,@Rich_Cooper Oh he’s WILD! #parking,['parking'],375845709
36,2021-04-28 18:03:20,Blatant01,I am RIGHT 90% of the time and the other 10% CLOSE to being right YOU do the math.,WHERE EVER YOU ARE! ,292,197,6039,1,@Rich_Cooper Oh he’s WILD! #parking,['parking'],375845709
37,2021-04-28 17:55:04,UMDLabovitz,The official Twitter account for the University of Minnesota Duluth's Labovitz School of Business and Economics,"Duluth, MN",92,291,828,1,"Have you downloaded the Park Duluth App yet? 🚙

Stop by and pick up a treat from us. We will in the Kirby Garage until 3:00pm! 

#umd #duluth #parking #parkduluthapp #paybyphone #kirbygarage #candy #letsgodogs #umdgrad2021 https://t.co/7gltcaGSsF",[],887760880838037504
38,2021-04-28 17:52:02,WayCom_,"A 🚘’s best friend: Parking • Car Wash • Gas • EV • Auto Insurance • Roadside Assistance
Get the App:",United States & Canada,1683,1402,4337,0,"All you need to know about Dulles Airport parking
 https://t.co/VVkEU2tU83 

#dulles #dullesairport #dullesairportparking #parking","['dulles', 'dullesairport', 'dullesairportparking', 'parking']",33667393
39,2021-04-28 17:45:13,tmj_chi_acct,"Follow this account for geo-targeted Accounting job tweets in Chicago, IL. Need help? Tweet us at @CareerArc!","Chicago, IL",237,530,734,0,"Ever thought about a job in #parking? With over 4,000 locations across the US and Canada, SP + is looking for new team members in Chicago, IL. Check out our Staff Accountant, Corporate Accounting opportunity. https://t.co/qCTSW0pbqX #Accounting","['parking', 'Accounting']",23233058
40,2021-04-28 17:44:23,UMDParking,"Real-time pay lot updates. Campus-wide parking & transportation info. UMD Parking, the official source for your parking needs.","Duluth, MN",128,600,1115,1,"Have you downloaded the Park Duluth App yet? 🚙

Stop by and pick up a treat from us. We will in the Kirby Garage until 3:00pm! 

#umd #duluth #parking #parkduluthapp #paybyphone #kirbygarage #candy #letsgodogs #umdgrad2021 https://t.co/7gltcaGSsF","['umd', 'duluth', 'parking', 'parkduluthapp', 'paybyphone', 'kirbygarage', 'candy', 'letsgodogs', 'umdgrad2021']",1946859248
41,2021-04-28 17:30:15,MBTA_Parking,"Tweeting weekday morning updates about @MBTA parking garages: Alewife, Beverly, Braintree, Route 128, Salem, Quincy Adams, Wonderland, and Woodland.","Boston, MA",2,2205,22137,0,"#Parking Availability @ 1:30 PM

Alewife: 2001 free spaces (14% full)
Beverly: 345 (14%)
Quincy Adams: 775 (1%)
Route 128: 2045 (6%)
Wonderland: 1238 (13%)
Woodland: 323 (39%)",['Parking'],999342579790557194
42,2021-04-28 17:09:49,AJWasahi,AJW (Asia & Japan Watch) is a free English news website of the Asahi Shimbun. Your critical guide to what's going on in Japan and the rest of Asia.,Tokyo's Tsukiji district,2,19522,47301,0,Diplomats told to settle parking tickets now or pay at the pump #parking : The Asahi Shimbun https://t.co/6WtK3mOrDl,['parking'],288659231
43,2021-04-28 17:07:23,parksie246,"Don't mistake my kindness for weakness.  I am kind to everyone, but when someone is unkind to me, weak is not what you are going to remember about me!",Leduc,50,17,697,3,"ATS Traffic and IntelliTrafik are proud to partner with @DataFromSky – international innovation leaders in traffic monitoring and smart parking detection: https://t.co/MPuqYzBQLV

#DataDriven #Traffic #SmartTraffic #SmartCity #Safety #Parking #TrafficMonitoring",[],1709866920
44,2021-04-28 17:06:52,StrongerDenton,"Dreaming and acting to improve our community, one step at a time.","Denton, TX",22,7,115,0,"And we're off. Before we get to #ADU and #parking, we're talking about the word soup of legally non-conforming homes that are deemed legal, but modifications cannot increase the nonconformity.","['ADU', 'parking']",1113068890924441601
45,2021-04-28 17:06:18,bmurphypointman,#affiliate #affiliatemarketing #bitcoin #business  #cryptocurrency #doge #deals #discount #gifts #marketing #shopping #socialmedia #travel #twitter #webtalk,"Bay Area, CA",4823,69595,1047327,0,#linkedin #twitter #facebook #instagram #bitcoin #socialmedia #pinterest #dogecoin #deal #shoppingaddict #gift #gifts #giftideas #shop #shopping #shoppingonline #parking #airport Save Up To 70% For A Limited Time Only On #airportparking https://t.co/UsGkiUEntP,"['linkedin', 'twitter', 'facebook', 'instagram', 'bitcoin', 'socialmedia', 'pinterest', 'dogecoin', 'deal', 'shoppingaddict', 'gift', 'gifts', 'giftideas', 'shop', 'shopping', 'shoppingonline', 'parking', 'airport', 'airportparking']",617853906
46,2021-04-28 17:00:19,MBTA_Parking,"Tweeting weekday morning updates about @MBTA parking garages: Alewife, Beverly, Braintree, Route 128, Salem, Quincy Adams, Wonderland, and Woodland.","Boston, MA",2,2205,22137,0,"#Parking Availability @ 1:00 PM

Alewife: 1999 free spaces (14% full)
Beverly: 347 (13%)
Quincy Adams: 775 (1%)
Route 128: 2045 (6%)
Wonderland: 1244 (13%)
Woodland: 322 (39%)",['Parking'],999342579790557194
47,2021-04-28 16:53:49,ncoxbarrett,Real Estate Developer in the Original East Dallas. 75% parking & housing affordability tweets.,"Dallas, TX",480,691,5445,2,"Inspired by @ncoxbarrett live tweeting of Dallas ZOAC meetings on #parking, we will live tweet Denton's Development Code Review Committee today, where they will discuss primarily #ADUs and #ParkingRequirements. Starts in 10 minutes: https://t.co/J0y8bBTth3",['parking'],3299645984
48,2021-04-28 16:53:30,StrongerDenton,"Dreaming and acting to improve our community, one step at a time.","Denton, TX",22,7,115,2,"Inspired by @ncoxbarrett live tweeting of Dallas ZOAC meetings on #parking, we will live tweet Denton's Development Code Review Committee today, where they will discuss primarily #ADUs and #ParkingRequirements. Starts in 10 minutes: https://t.co/J0y8bBTth3","['parking', 'ADUs', 'ParkingRequirements']",1113068890924441601
49,2021-04-28 16:49:02,SPPlusCareers,"SP+ (SP Plus) is a diverse provider of professional parking, ground transportation, facility maintenance, security, & event logistics services.  #Hiring #jobs",,126,809,1743,0,"Find your space in the #parking industry! SP + is looking for a Special Events Attendant in Irving, TX. https://t.co/sWEpSrkqt9 #specialevents","['parking', 'specialevents']",928378622121070593
50,2021-04-28 16:35:04,SuncoastNews,"The Suncoast News is committed to bringing readers up to date on local news and sports impacting Pasco, Pinellas and Hernando counties.","Port Richey, Fla.",212,2712,18685,0,"New Port Richey council votes to pay more to speed up parking lot completion.

Also, Changes to Land Development Review Board membership

#Pasco #LocalNews #localgov #parking #construction #devlopment

https://t.co/PeMaPlZnnQ","['Pasco', 'LocalNews', 'localgov', 'parking', 'construction', 'devlopment']",36458348
51,2021-04-28 16:30:23,MBTA_Parking,"Tweeting weekday morning updates about @MBTA parking garages: Alewife, Beverly, Braintree, Route 128, Salem, Quincy Adams, Wonderland, and Woodland.","Boston, MA",2,2205,22137,0,"#Parking Availability @ 12:30 PM

Alewife: 1996 free spaces (14% full)
Beverly: 347 (13%)
Quincy Adams: 775 (1%)
Route 128: 2045 (6%)
Wonderland: 1246 (13%)
Woodland: 320 (40%)",['Parking'],999342579790557194
52,2021-04-28 16:17:17,APWAupdates,The official account for the Alberta Public Works Association,,169,482,3000,3,"ATS Traffic and IntelliTrafik are proud to partner with @DataFromSky – international innovation leaders in traffic monitoring and smart parking detection: https://t.co/MPuqYzBQLV

#DataDriven #Traffic #SmartTraffic #SmartCity #Safety #Parking #TrafficMonitoring",[],1923226826
53,2021-04-28 16:12:49,parkingtoday,Parking Today: information resource 4 the parking mobility tech industry. Read more @ https://t.co/BcX4oeEBfc & https://t.co/AwwbjDJXD9 - Maintained by @astridambroziak,"Los Angeles, CA USA",1692,2740,13418,0,"On https://t.co/bLYjZTOgQC and PT Plus: Township Of Maplewood, New Jersey, Partners With @Parkmobile To Offer Contactless Parking Payments - #parking #mobility #technology #payments","['parking', 'mobility', 'technology', 'payments']",76926140
54,2021-04-28 16:10:55,atstraffic,"Canadian leaders in traffic safety, traffic management and traffic solutions. https://t.co/UQZrpICGDA","BC, AB, SK, MB",1223,721,2308,3,"ATS Traffic and IntelliTrafik are proud to partner with @DataFromSky – international innovation leaders in traffic monitoring and smart parking detection: https://t.co/MPuqYzBQLV

#DataDriven #Traffic #SmartTraffic #SmartCity #Safety #Parking #TrafficMonitoring","['DataDriven', 'Traffic', 'SmartTraffic', 'SmartCity', 'Safety', 'Parking', 'TrafficMonitoring']",1581125473
55,2021-04-28 16:10:42,parkingtoday,Parking Today: information resource 4 the parking mobility tech industry. Read more @ https://t.co/BcX4oeEBfc & https://t.co/AwwbjDJXD9 - Maintained by @astridambroziak,"Los Angeles, CA USA",1692,2740,13418,1,"Thanks for the partnership, Parker Technology &amp; 717 Parking Enterprises.  

#mobility #parking #transportation #mobilityhubs #technology #innovation #smartcities #digitaltransformation FLASH https://t.co/RqbrxteB5w","['mobility', 'parking', 'transportation']",76926140
56,2021-04-28 16:06:30,bmurphypointman,#affiliate #affiliatemarketing #bitcoin #business  #cryptocurrency #doge #deals #discount #gifts #marketing #shopping #socialmedia #travel #twitter #webtalk,"Bay Area, CA",4823,69595,1047327,0,#linkedin #twitter #facebook #instagram #bitcoin #socialmedia #pinterest #dogecoin #shoppingaddict #deal #gift #gifts #giftideas #shop #shopping #shoppingonline #parking #airport Save Up To 70% For A Limited Time Only On #airportparking https://t.co/UsGkiUEntP,"['linkedin', 'twitter', 'facebook', 'instagram', 'bitcoin', 'socialmedia', 'pinterest', 'dogecoin', 'shoppingaddict', 'deal', 'gift', 'gifts', 'giftideas', 'shop', 'shopping', 'shoppingonline', 'parking', 'airport', 'airportparking']",617853906
57,2021-04-28 16:00:17,MaloneyHere,Mobility & Parking Nerd,,377,276,806,1,"Thanks for the partnership, Parker Technology &amp; 717 Parking Enterprises.  

#mobility #parking #transportation #mobilityhubs #technology #innovation #smartcities #digitaltransformation FLASH https://t.co/RqbrxteB5w","['mobility', 'parking', 'transportation', 'mobilityhubs', 'technology', 'innovation', 'smartcities', 'digitaltransformation']",3168057355
58,2021-04-28 15:58:58,smichaeljohnson,,"Seattle, WA",736,362,3786,0,@DougDeMuro check out this @Ghostbusters #Chevy #Impala I saw in a #parking lot outside #Seattle #Washington Love the #Stickers 😂 Lots of work went into this. https://t.co/FByc1S1OI1,"['Chevy', 'Impala', 'parking', 'Seattle', 'Washington', 'Stickers']",159250486
59,2021-04-28 15:56:11,SPPlusCareers,"SP+ (SP Plus) is a diverse provider of professional parking, ground transportation, facility maintenance, security, & event logistics services.  #Hiring #jobs",,126,809,1743,0,"Find your space in the #parking industry! SP + is looking for a Staff Accountant, Corporate Accounting in Chicago, IL. https://t.co/9b6Id9YgaM #Accounting","['parking', 'Accounting']",928378622121070593
