,tweetcreatedts,username,description,location,following,followers,totaltweets,retweetcount,text,hashtags,userID
12,4/29/2021 16:03,DougWedel,"Bike Month is this June. Let's plan now.

Make Bike Month signs!

Road safety advocacy led me to cycling advocacy. 
Let's be the change we want.","Toronto, Ontario",4974,1215,67618,1,"#NYC #bike #PARKing problem : 1.6M #Riders and Just 56,000 Spots.  Go THIN and store your bike indoors.
https://t.co/Tm9eud9qGX

#NYCbike #NewYorkCity #cyclinglife #cycling #urbanplanning #Theft #roadbike #mtb #city #ebike #bikelife #ride #bikegirl #bikeaccessories https://t.co/hoXzEx9UVm",#NYC #bike #PARKing #Riders,1.01E+18
13,4/29/2021 16:01,MBTA_Parking,"Tweeting weekday morning updates about @MBTA parking garages: Alewife, Beverly, Braintree, Route 128, Salem, Quincy Adams, Wonderland, and Woodland.","Boston, MA",2,2205,22162,0,"#Parking Availability @ 12:01 PM

Alewife: 1968 free spaces (16% full)
Beverly: 350 (13%)
Quincy Adams: 775 (1%)
Route 128: 2045 (6%)
Salem: 521 (22%)
Wonderland: 1221 (14%)
Woodland: 337 (37%)",#Parking,9.99E+17
14,4/29/2021 15:58,anne_nonymity,"she/her
Law/policy with a focus on reputation, privacy, smart cities  and digital new media. Ideas and interests my own, not those of any institution or body",Ottawa,2267,1457,49074,1,"G4, The Smart City Sensor that Changes the World #Parking #SmartCity #SmartSensor 
https://t.co/kHRInL881u",#Parking #SmartCity #SmartSensor,7439242
15,4/29/2021 15:56,SPPlusCareers,"SP+ (SP Plus) is a diverse provider of professional parking, ground transportation, facility maintenance, security, & event logistics services.  #Hiring #jobs",,126,809,1720,0,"Find your space in the #parking industry! SP + is looking for a Facility Manager in Washington, DC. https://t.co/uawpQZCJRg #Hospitality",#parking #Hospitality,9.28E+17
16,4/29/2021 15:55,CarolineBombart,Marketing Director | Marketing Communications | B2B | Technology | Social Media Citizen of the world and a passion for connecting people across the globe,"Rotterdam, Netherlands",3464,2796,5923,1,"G4, The Smart City Sensor that Changes the World #Parking #SmartCity #SmartSensor 
https://t.co/kHRInL881u",#Parking #SmartCity #SmartSensor,245542127
17,4/29/2021 15:50,HelpMeParker,The video customer experience platform of choice for the parking industry.,"Indianapolis, IN",208,101,468,0,"Donâ€™t dismiss or brush off customer reviews â€” make the most out of them! - https://t.co/r9fBm0Ayfp 

#ParkerTechnology #customerexperience #customerservice #parking #CX",#ParkerTechnology #customerexperience #customerservice #parking #CX,3040932641
18,4/29/2021 15:49,MaloneyHere,Mobility & Parking Nerd,,377,276,808,0,"How will the upcoming wave of EV charging infrastructure impact parking?

Article Here: 

#evcharging #evadoption #evchargingstations #mobility #electricvehiclesarethefuture #electricvehicles #evs #parking #mobilityhubs #charging #â€¦https://t.co/JZ8ajVZdaN https://t.co/YscVsZyigK",#evcharging #evadoption #evchargingstations #mobility #electricvehiclesarethefuture #electricvehicles #evs #parking #mobilityhubs #charging,3168057355
19,4/29/2021 15:47,littlwulf,,"Lincoln, NE",394,173,19790,3,"Nice parking spot-genius:-)

#parking #cars #automobile #idiocracy #stupidity #stupid #hilarious #photo https://t.co/VlCj0cksa8",#parking #cars #automobile #idiocracy #stupidity #stupid #hilarious #photo,91632392
20,4/29/2021 15:37,UW_CSTV,"The Centre for Society, Technology and Values at the University of Waterloo! Learn more about our courses and people at our homepage, or read our blog!",University of Waterloo,658,222,8739,0,Some #cities adopt punitive approaches to #parking fines when there are more equitable and helpful options https://t.co/WtK2fzkTF9 via @NextCityOrg,#cities #parking,1436070643
21,4/29/2021 15:35,PIProperty,"PIP Distribution - Free daily emails of commercial details & requirements.

PIPNet - Online database of property details & requirements going back 20 years.",London,1306,1178,6127,1,"Self-contained #offices to let in #Warwick.

These two storey #offices are set in a landscaped environment and benefit from 10  #parking spaces.

Located close to Warwick town centre and easily accessible from the M40.

https://t.co/uuslRGjxd4

#CommercialProperty #Warwickshire https://t.co/MKxQZgwa73",#offices #Warwick #offices,126275639
23,4/29/2021 15:33,BromwichHardy,Bromwich Hardy is a dynamic property consultancy and agency based in the heart of the Midlands.,Middlemarch Business Park,780,831,2273,1,"Self-contained #offices to let in #Warwick.

These two storey #offices are set in a landscaped environment and benefit from 10  #parking spaces.

Located close to Warwick town centre and easily accessible from the M40.

https://t.co/uuslRGjxd4

#CommercialProperty #Warwickshire https://t.co/MKxQZgwa73",#offices #Warwick #offices #parking #CommercialProperty #Warwickshire,163001540
24,4/29/2021 15:30,MBTA_Parking,"Tweeting weekday morning updates about @MBTA parking garages: Alewife, Beverly, Braintree, Route 128, Salem, Quincy Adams, Wonderland, and Woodland.","Boston, MA",2,2205,22162,0,"#Parking Availability @ 11:30 AM

Alewife: 1971 free spaces (15% full)
Beverly: 347 (13%)
Quincy Adams: 775 (1%)
Route 128: 2045 (6%)
Salem: 521 (22%)
Wonderland: 1229 (14%)
Woodland: 335 (37%)",#Parking,9.99E+17
25,4/29/2021 15:21,WhereiPark,"WhereiPark is an online marketplace, connecting those with spots to spare with those looking for a place to park. Check out https://t.co/POeLgKLAL5 to learn more!",Toronto,229,118,344,0,When is a #parking lot not a parking lot? When itâ€™s an art gallery. Or a performance space. Or a restaurant. Or a home for animatronic dinosaurs. What does a Dutch painter who died over 130 years ago have to do with parking garages? Read our latest: https://t.co/R0iO6CKRjl,#parking,2458599248
26,4/29/2021 15:18,Vikezmedia,"Bring you #news all over the world that would change the way you think about #life, #society, #technology, and #business.","San Jose, CA ",6108,5553,37633,11,This startup uses Deep Learning to detect available parking spaces! #AI #ML #startups #DeepLearning #ML #startup #ArtificialIntelligence #smartcities #scifi #VIKEZ #city #parkinglot #parking #cars #innovation #video #tech #technews https://t.co/fvFaStNLJL,#AI #ML #startups #DeepLearning #ML #startup,3527715379
27,4/29/2021 15:15,Wright_ap,Glad to be ex-private client money manager. Current angel investor. Visible from space. Nouns: not going pro. Up the Villa!,Chicago,644,185,4880,1,"â€œAmericans spend an incredible $72.7 billion searching for the elusive #parking spot,â€ said Bob Pishue, senior economist at INRIX. As per a study in 2017, there is an added cost of $345 per driver per year in wasted time, fuel and emissions. 
To read more, https://t.co/SNxQQzHxDM https://t.co/0c6a8BFuoq",#parking,1035438246
28,4/29/2021 15:13,SPPlusCareers,"SP+ (SP Plus) is a diverse provider of professional parking, ground transportation, facility maintenance, security, & event logistics services.  #Hiring #jobs",,126,809,1720,0,"Find your space in the #parking industry! SP + is looking for a Attendant - Driving in New York, NY. https://t.co/tLPrCvWfZw #CustomerService",#parking #CustomerService,9.28E+17
29,4/29/2021 15:06,bmurphypointman,#affiliate #affiliatemarketing #bitcoin #business  #cryptocurrency #doge #deals #discount #gifts #marketing #shopping #socialmedia #travel #twitter #webtalk,"Bay Area, CA",4826,69573,1048574,0,#linkedin #shoppingstaronline #twitter #facebook #instagram #bitcoin #socialmedia #pinterest #dogecoin #deal #gift #gifts #giftideas #shop #shopping #shoppingonline #parking #airport Save Up To 70% For A Limited Time Only On #airportparking https://t.co/UsGkiUEntP,#linkedin #shoppingstaronline #twitter #facebook #instagram #bitcoin #socialmedia #pinterest #dogecoin #deal #gift #gifts #giftideas #shop #shopping #shoppingonline #parking #airport #airportparking,617853906
30,4/29/2021 15:02,ParqEx,ParqEx is The Smart Parking Platform that is transforming parking real-estate (855)727-7391.,United States,12023,30475,9396,1,"â€œAmericans spend an incredible $72.7 billion searching for the elusive #parking spot,â€ said Bob Pishue, senior economist at INRIX. As per a study in 2017, there is an added cost of $345 per driver per year in wasted time, fuel and emissions. 
To read more, https://t.co/SNxQQzHxDM https://t.co/0c6a8BFuoq",#parking,2410066170
31,4/29/2021 15:00,MBTA_Parking,"Tweeting weekday morning updates about @MBTA parking garages: Alewife, Beverly, Braintree, Route 128, Salem, Quincy Adams, Wonderland, and Woodland.","Boston, MA",2,2205,22162,0,"#Parking Availability @ 11:00 AM

Alewife: 1973 free spaces (15% full)
Beverly: 348 (13%)
Quincy Adams: 775 (1%)
Route 128: 2045 (6%)
Salem: 521 (22%)
Wonderland: 1225 (14%)
Woodland: 330 (38%)",#Parking,9.99E+17
32,4/29/2021 14:44,SPPlusCareers,"SP+ (SP Plus) is a diverse provider of professional parking, ground transportation, facility maintenance, security, & event logistics services.  #Hiring #jobs",,126,809,1720,0,"Ever thought about a job in #parking? With over 4,000 locations across the US and Canada, SP + is looking for new team members in Columbus, OH. Check out our Facility Manager opportunity. https://t.co/R7Y3tURvtN #Hospitality",#parking #Hospitality,9.28E+17
33,4/29/2021 14:35,MBTA_Parking,"Tweeting weekday morning updates about @MBTA parking garages: Alewife, Beverly, Braintree, Route 128, Salem, Quincy Adams, Wonderland, and Woodland.","Boston, MA",2,2205,22162,0,"#Parking Availability @ 10:35 AM

Alewife: 1972 free spaces (15% full)
Beverly: 346 (14%)
Quincy Adams: 775 (1%)
Route 128: 2045 (6%)
Salem: 523 (22%)
Wonderland: 1226 (14%)
Woodland: 331 (38%)",#Parking,9.99E+17
34,4/29/2021 14:22,MarriottsWalk1,"#Shopping area in #Witney #Oxon FREE PARKING. Amazing High Street brands and fun entertainment offered in a rural, stress-free setting for all the family.","Witney, Oxfordshire",815,1115,13239,0,"These are the extended opening times for the Car Park, so you can enjoy shopping for longer!Â ðŸš—ðŸš™ðŸ›’ðŸ›ï¸
#shopping #parking #visitus https://t.co/o7RkMt69Ab",#shopping #parking #visitus,325543560
35,4/29/2021 14:20,RahwayRising,"A blog about all things redevelopment
https://t.co/XSAh3bveHw","Rahway, NJ",340,842,7230,0,"BLOG POST: Amid some concerns about #parking, #Planning Board unanimously approves changes to original plan for The Mint-North in #downtown #Rahway - https://t.co/te2aC4nsLI",#parking #Planning #downtown #Rahway,31123182
36,4/29/2021 14:12,PSRltd,"Nationwide experts in the promotion, rental and management of private, residential and commercial parking, garages and car parks.",Manchester - 0161 401 4000,1804,647,9388,0,https://t.co/yOcsiDUuUp Dad completes six-year mission to park in every bay of his local @sainsburys #Bromley #parking,#Bromley #parking,175351371
37,4/29/2021 14:06,bmurphypointman,#affiliate #affiliatemarketing #bitcoin #business  #cryptocurrency #doge #deals #discount #gifts #marketing #shopping #socialmedia #travel #twitter #webtalk,"Bay Area, CA",4826,69573,1048574,0,#shoppingstaronline #linkedin #twitter #facebook #instagram #bitcoin #socialmedia #pinterest #dogecoin #deal #gift #gifts #giftideas #shop #shopping #shoppingonline #parking #airport Save Up To 70% For A Limited Time Only On #airportparking https://t.co/UsGkiUEntP,#shoppingstaronline #linkedin #twitter #facebook #instagram #bitcoin #socialmedia #pinterest #dogecoin #deal #gift #gifts #giftideas #shop #shopping #shoppingonline #parking #airport #airportparking,617853906
38,4/29/2021 14:00,MBTA_Parking,"Tweeting weekday morning updates about @MBTA parking garages: Alewife, Beverly, Braintree, Route 128, Salem, Quincy Adams, Wonderland, and Woodland.","Boston, MA",2,2205,22162,0,"#Parking Availability @ 10:00 AM

Alewife: 1981 free spaces (15% full)
Beverly: 345 (14%)
Quincy Adams: 775 (1%)
Route 128: 2045 (6%)
Salem: 527 (22%)
Wonderland: 1231 (14%)
Woodland: 337 (37%)",#Parking,9.99E+17
39,4/29/2021 13:59,SPPlusCareers,"SP+ (SP Plus) is a diverse provider of professional parking, ground transportation, facility maintenance, security, & event logistics services.  #Hiring #jobs",,126,809,1720,0,Find your space in the #parking industry! SP + is looking for a Assistant Facility Manager in NY. https://t.co/HOefehkiTw #Hospitality,#parking #Hospitality,9.28E+17
40,4/29/2021 13:56,RadianHomes,"Provider of new homes across the South of England. Creating communities, empowering lives. Enquiries: 0800 145 6663. Part of the @abrigroup. #WeAreAbri",,796,3317,5353,0,ðŸ¡ Coming soon to #HassocksðŸ¡ Two and three bedroom #homes with allocated #parking and turfed rear gardens. Register your interest today to be the first to know when they are released ðŸ“© https://t.co/R5DtqISfj7 https://t.co/Uhb98h7gjw,#Hassocks #homes #parking,350856040
41,4/29/2021 13:55,TiMoudou,"A warrior / 2020 makes me stronger than before / compassionate towards others in particular elders, disabled and children / Believe in Democracy & Womens rights","Toronto, Ontario",2103,905,24198,3,"Nice parking spot-genius:-)

#parking #cars #automobile #idiocracy #stupidity #stupid #hilarious #photo https://t.co/VlCj0cksa8",#parking #cars #automobile #idiocracy #stupidity #stupid #hilarious #photo,1.33E+18
42,4/29/2021 13:55,absis02,"I am nothing special,
my Hometown I still love. San Antonio Texas, what I think  #BLM #catcalling should be punished","Black Forest, South Germany ",4079,4052,22153,3,"Nice parking spot-genius:-)

#parking #cars #automobile #idiocracy #stupidity #stupid #hilarious #photo https://t.co/VlCj0cksa8",#parking #cars #automobile #idiocracy #stupidity #stupid #hilarious #photo,1.20E+18
43,4/29/2021 13:53,archer_general,Fulltime Nerd/Writer/Artist/Know-it-all/ -Likes Art/Sci-fi/Elvis/Hotspurs/Star Trek/Star Wars/Music/Hitomi Tanaka/Physics/Science/Astronomy/Biden/Harris/USA,Planet Earth,2816,3315,959,3,"Nice parking spot-genius:-)

#parking #cars #automobile #idiocracy #stupidity #stupid #hilarious #photo https://t.co/VlCj0cksa8",#parking #cars #automobile #idiocracy #stupidity #stupid #hilarious #photo,1.34E+18
44,4/29/2021 13:45,HelpMeParker,The video customer experience platform of choice for the parking industry.,"Indianapolis, IN",208,101,468,0,"We may have more value-adds that you realize, or knew were interesting to youâ€¦just sayin. ðŸ˜‰

Check out our Benefits one-pager to see for yourself: https://t.co/FvYesEmcuT

#ParkerTechnology #parking #customerservice #customerexperience https://t.co/hzstppr0Ag",#ParkerTechnology #parking #customerservice #customerexperience,3040932641
45,4/29/2021 13:43,PSRltd,"Nationwide experts in the promotion, rental and management of private, residential and commercial parking, garages and car parks.",Manchester - 0161 401 4000,1804,647,9388,0,https://t.co/KlgxppiT7D Watch an 87-yr-old Belgian man park his car in a #garage with less than 3 inches to spare #parking,#garage #parking,175351371
46,4/29/2021 13:30,MBTA_Parking,"Tweeting weekday morning updates about @MBTA parking garages: Alewife, Beverly, Braintree, Route 128, Salem, Quincy Adams, Wonderland, and Woodland.","Boston, MA",2,2205,22162,0,"#Parking Availability @ 9:30 AM

Alewife: 1989 free spaces (15% full)
Beverly: 345 (14%)
Quincy Adams: 775 (1%)
Route 128: 2045 (6%)
Salem: 527 (22%)
Wonderland: 1234 (14%)
Woodland: 341 (36%)",#Parking,9.99E+17
47,4/29/2021 13:18,WayCom_,"A ðŸš˜â€™s best friend: Parking â€¢ Car Wash â€¢ Gas â€¢ EV â€¢ Auto Insurance â€¢ Roadside Assistance
Get the App:",United States & Canada,1683,1402,4343,0,"7 Things to do at Boston Logan Airport
 https://t.co/FSSLcd9sm7 

#airport #airportparking #boston #bostonparking #parking #usaparking",#airport #airportparking #boston #bostonparking #parking #usaparking,33667393
48,4/29/2021 13:06,bmurphypointman,#affiliate #affiliatemarketing #bitcoin #business  #cryptocurrency #doge #deals #discount #gifts #marketing #shopping #socialmedia #travel #twitter #webtalk,"Bay Area, CA",4826,69573,1048574,0,#linkedin #twitter #facebook #instagram #bitcoin #socialmedia #pinterest #dogecoin #deal #gift #gifts #giftideas #shop #shopping #shoppingtime #shoppingonline #parking #airport Save Up To 70% For A Limited Time Only On #airportparking https://t.co/UsGkiUEntP,#linkedin #twitter #facebook #instagram #bitcoin #socialmedia #pinterest #dogecoin #deal #gift #gifts #giftideas #shop #shopping #shoppingtime #shoppingonline #parking #airport #airportparking,617853906
49,4/29/2021 13:04,JonesVivienne77,"ðŸ¶Animal Lover, Support Police & Emergency Workers,",United Kingdom,718,274,32825,1,"#PARKING | We are regularly experiencing considerable parking and litter issues near Brombil reservoir in Margam @NeathPortTalbot

Along with Parking and Waste Enforcement Officers we will be patrolling regularly and enforcement action will be taken.
https://t.co/c0pWvGJ8eM
^RSK https://t.co/RlbvAOKjbZ",#PARKING,7.20E+17
50,4/29/2021 13:01,ProjexSolLtd,Engineering Design & Project Management. Electrical Control Instrument Process & Mechanical Engineers Your Ultimate Project Partner Providing a lifetime of Care,"Brighouse, West Yorkshire",392,343,1150,0,"Out with the old and in with the new, we decided it was time to freshen up our parking signs! #Newdesign #Engineering #Parking https://t.co/UopSmStsIN",#Newdesign #Engineering #Parking,2821221563
51,4/29/2021 13:00,T2SystemsInc,"T2 Systems delivers innovative, reliable parking technology solutions to thousands of parking professionals across North America.","Indianapolis, IN",185,1062,1331,0,"In the latest installment of our #T2ParkingPerspectives series, Business Analyst Mairtin Mersch describes how the #T2Community helped him learn and grow as he advanced in his #parking career.

ðŸ“– https://t.co/ksjBEcKke7 

#parkingtechnology #parkingsolutions #bettertogether",#T2ParkingPerspectives #T2Community #parking #parkingtechnology #parkingsolutions #bettertogether,45580672
52,4/29/2021 13:00,MBTA_Parking,"Tweeting weekday morning updates about @MBTA parking garages: Alewife, Beverly, Braintree, Route 128, Salem, Quincy Adams, Wonderland, and Woodland.","Boston, MA",2,2205,22162,0,"#Parking Availability @ 9:00 AM

Alewife: 2004 free spaces (14% full)
Beverly: 350 (13%)
Quincy Adams: 775 (1%)
Route 128: 2045 (6%)
Wonderland: 1244 (13%)
Woodland: 349 (34%)",#Parking,9.99E+17
54,4/29/2021 12:54,SWPNeathPTalbot,"Updates from @swpolice in NPT. For non-emergencies, send a private message 24/7 for a response from our control room. In an emergency, always dial 999.","Neath Port Talbot, Wales",309,6517,9756,1,"#PARKING | We are regularly experiencing considerable parking and litter issues near Brombil reservoir in Margam @NeathPortTalbot

Along with Parking and Waste Enforcement Officers we will be patrolling regularly and enforcement action will be taken.
https://t.co/c0pWvGJ8eM
^RSK https://t.co/RlbvAOKjbZ",#PARKING,3511327577
55,4/29/2021 12:49,gmanroney,"Engineering, fluid mechanics, computing, software, clouds, blockchain, infosec, AI","Cork, Ireland",1096,375,461,0,For once I am lost for words   #carpark #parking #car #parkinglot #carparking #parklife   https://t.co/dxWr5HpwNo,#carpark #parking #car #parkinglot #carparking #parklife,33217406
56,4/29/2021 12:49,dr_okelly,"Head of Technology Innovation & Research, British Parking Association - Researcher / musician / horse riding beginner. Views my own","Dorking, South East",603,595,700,0,Great to be involved in this initiative helping the #parking #activetravel  and #micromobility  sectors work together for a greener future #positiveparkingagenda https://t.co/QXRazUxSaa,#parking #activetravel #micromobility #positiveparkingagenda,2288478572
57,4/29/2021 12:42,Real_Adam_Agata,Stats man.  Mets fan. Collector of degrees.,,240,85,731,1,"Parking in #nyc is a nightmare.  The data shows what kind of car you should get to optimize your chance if finding a spot in the newest 2xParked.

#NewYorkCity #NewYork #data #Days #parking #parkinglot #mayorelection #Elections2021 #vote #thursdaymorning 
https://t.co/Cjf095N71X",#nyc,20622665
58,4/29/2021 12:41,2xParked,"Pronounced ""Double Parked"" for your friends.

The Data Driven Publication to Being a New Yorker.  

Newsletter hitting your inbox weekly.  Sign up today!","Brooklyn, NY",830,52,1285,1,"Parking in #nyc is a nightmare.  The data shows what kind of car you should get to optimize your chance if finding a spot in the newest 2xParked.

#NewYorkCity #NewYork #data #Days #parking #parkinglot #mayorelection #Elections2021 #vote #thursdaymorning 
https://t.co/Cjf095N71X",#nyc #NewYorkCity #NewYork #data #Days #parking #parkinglot #mayorelection #Elections2021 #vote #thursdaymorning,1.30E+18
59,4/29/2021 12:32,ETERNALSAVAGE,YOUTUBER/COMEDIAN/ACTOR/GAMER,"Virginia, USA",49,75,5420,0,Can you look all the way down the street an keep going?  #Car #Automobile #Transportation #Vehicle #Path #Road #Tarmac #Asphalt #ParkingLot #Parking https://t.co/0NdoasmBOz,#Car #Automobile #Transportation #Vehicle #Path #Road #Tarmac #Asphalt #ParkingLot #Parking,4104331332
60,4/29/2021 12:30,MBTA_Parking,"Tweeting weekday morning updates about @MBTA parking garages: Alewife, Beverly, Braintree, Route 128, Salem, Quincy Adams, Wonderland, and Woodland.","Boston, MA",2,2205,22162,0,"#Parking Availability @ 8:30 AM

Alewife: 2026 free spaces (13% full)
Beverly: 343 (14%)
Quincy Adams: 775 (1%)
Route 128: 2045 (6%)
Wonderland: 1261 (12%)
Woodland: 355 (33%)",#Parking,9.99E+17
61,4/29/2021 12:21,pocityf,#H2020 #smartcity project delivering Positive Energy Districts in mixed urban areas. Ã‰vora â€¢ Alkmaar â€¢ Granada â€¢ Bari â€¢ Celje â€¢ Ujpest â€¢ Ioannina â€¢ Hvidovre,,884,721,740,2,Within the ##matchupEU #RepaintDresden district Johannstadt #SachsenEnergie drives forward the expansion of #charging #infrastructure w/ 2 #AC #charging #points and develops the #mobility #behaviour of Dresden. #parking space sensors show availability of charging stations online. https://t.co/nEdopw2MNF,#matchupEU #RepaintDresden #SachsenEnergie #charging,1.17E+18
62,4/29/2021 12:18,SPPlusCareers,"SP+ (SP Plus) is a diverse provider of professional parking, ground transportation, facility maintenance, security, & event logistics services.  #Hiring #jobs",,126,809,1720,0,"Find your spot in #parking! We currently have Parking Operations openings in Honolulu, HI. #CareerGrowth https://t.co/m0oQoW1Ztp",#parking #CareerGrowth,9.28E+17
63,4/29/2021 12:18,SPPlusCareers,"SP+ (SP Plus) is a diverse provider of professional parking, ground transportation, facility maintenance, security, & event logistics services.  #Hiring #jobs",,126,809,1720,0,"Find your spot in #parking! We currently have Parking Operations Management openings in New York, NY. #CareerGrowth https://t.co/KGwuM7pZUj",#parking #CareerGrowth,9.28E+17
64,4/29/2021 12:11,PSRltd,"Nationwide experts in the promotion, rental and management of private, residential and commercial parking, garages and car parks.",Manchester - 0161 401 4000,1804,647,9388,0,https://t.co/4hE8jrjicT Huge changes to on-street #parking proposed in #Bath which could see charges based on emissions,#parking #Bath,175351371
65,4/29/2021 12:06,bmurphypointman,#affiliate #affiliatemarketing #bitcoin #business  #cryptocurrency #doge #deals #discount #gifts #marketing #shopping #socialmedia #travel #twitter #webtalk,"Bay Area, CA",4826,69573,1048574,0,#linkedin #twitter #facebook #instagram #bitcoin #socialmedia #pinterest #dogecoin #deal #gift #gifts #giftideas #shop #shoppingtime #shopping #shoppingonline #parking #airport Save Up To 70% For A Limited Time Only On #airportparking https://t.co/UsGkiUEntP,#linkedin #twitter #facebook #instagram #bitcoin #socialmedia #pinterest #dogecoin #deal #gift #gifts #giftideas #shop #shoppingtime #shopping #shoppingonline #parking #airport #airportparking,617853906
